subject,description,category
Food delivery,Can you help me with this? Need cheap food delivery options.,Food
goalie practice,I need advice about goalie practice. Tips for hockey goalie training.,Hockey Sports
Packing list,What should I pack for a trip?,Travel
Dizziness issue,I feel dizzy and have trouble concentrating.,Brain Medical
Help with science project,Ideas for a middle school science fair project.,Middle School Education
debt payoff,I need advice about debt payoff. Need a strategy to pay off credit card debt.,Finance
Help with leg swelling,My leg is swollen and painful.,Leg Medical
museum visit,I need advice about museum visit. Which museums should tourists visit?,Tourism
thesis topic,I need advice about thesis topic. Need help choosing a thesis topic.,University Education
Help with financial planning,How should I plan my personal finances?,Finance
Help with children books,Looking for story books for elementary school children.,Books
retirement investing,I need advice about retirement investing. How should I invest for retirement?,Investing
Help with meal recommendation,What should I eat for dinner?,Food
trading app,I need advice about trading app. Best apps for stock trading.,Stocks
Help with handball coaching,Looking for handball coaching nearby.,Handball Sports
Self help books,I want self improvement and productivity book recommendations.,Books
itchy eyes,I need advice about itchy eyes. Why are my eyes itchy and red?,Eye Medical
Jogging breathing,Can you help me with this? How should I breathe while jogging?,Jogging Sports
Help with etf investment,What are good ETFs for long-term investing?,Investing
Handball team,How to join a handball team?,Handball Sports
University selection,Can you help me with this? Which universities are good for computer science?,College Admissions
Children books,Can you help me with this? Looking for story books for elementary school children.,Books
Help with migraine headache,I get severe migraines often.,Brain Medical
International trip,Need advice for international travel.,Travel
Cricket academy,Can you help me with this? Find a cricket coaching academy nearby.,Cricket Sports
School policy,Can you help me with this? Need information about school attendance policy.,School
Help with relationship match,Looking for compatibility in marriage matching.,Matrimonial
Baseball glove,Need recommendations for baseball gloves.,Baseball Sports
Help with college application,I need help applying to universities for admission.,College Admissions
Head wound,Need help treating a small head wound.,Head Medical
Help with graduate course,Which graduate courses are good for AI specialization?,University Education
Running pace,What pace should I run for a 10k?,Running Sports
Help with dividend stocks,What are good dividend stocks?,Stocks
Batting stance,Can you help me with this? How to improve my batting stance?,Baseball Sports
Help with warehouse job,Looking for warehouse or retail jobs.,Jobs
